First name,Last name,ID number,Institution,Department,Email address,Dis sec,Ind sec,Lab sec,Lec sec,Pra sec,Sem sec,Sts sec,Assignment:HW1 (Real),Assignment:HW2 (Real),Assignment:HW3 (Real),Assignment:HW4 (Real),Assignment:HW5 (Real),Assignment:HW 6 (Real),Assignment:HW7 (Real),Assignment:HW8 (Real),Assignment:HW9 (Real),Assignment:HW10 (Real),Quiz:Exam 1 (Real),Quiz:Exam 2 (Real),Quiz:Final Exam (Real),Last downloaded from this course
Chelsea,Russell,36347295,,,c.russell@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Lucas,Warren,29644456,,,l.warren@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Edward,Foster,17446302,,,e.foster@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Dale,Phillips,25670490,,,d.phillips@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Tess,Ross,26195986,,,t.ross@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Jasmine,Henderson,13400235,,,j.henderson@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Mary,Roberts,19848827,,,m.roberts@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Eleanor,Tucker,18993148,,,e.tucker@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Ashton,Craig,23652688,,,a.craig@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Elise,Clark,31897362,,,e.clark@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Maximilian,Russell,42506881,,,m.russell@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Dominik,Higgins,29477413,,,d.higgins@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Annabella,Jones,11884023,,,a.jones@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Haris,Cooper,31507466,,,h.cooper@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Victor,Mason,22938271,,,v.mason@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Kellan Suazo,Parker,45594077,,,k.parker@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Myra,Hawkins,19577458,,,m.hawkins@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Sophia,Robinson,12707028,,,s.robinson@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Tyler,Perry,42679225,,,t.perry@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Naomi,Moore,27967809,,,n.moore@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
John,Warren,40695618,,,j.warren@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Leonardo,Harris,46946250,,,l.harris@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Jared,Anderson,40088108,,,j.anderson@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Carl,Hunt,39371287,,,c.hunt@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Stuart,Harris,41289475,,,s.harris@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Sophia,Hamilton,35318680,,,s.hamilton@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Edwin,Cooper,18045881,,,e.cooper@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Eric,Taylor,39666306,,,e.taylor@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Harold,Spencer,20555459,,,h.spencer@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Julian,Robinson,49749902,,,j.robinson@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Alina,Wilson,10351885,,,a.wilson@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Michael,Barrett-Hession,35679708,,,m.barrett@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Arnold,Myers,14186024,,,a.myers@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Miley,Mitchell,41595006,,,m.mitchell@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Kellan,Mason,12644673,,,k.mason@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Sienna,Morrison,19620895,,,s.morrison@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Melissa,Farrell,25799917,,,m.farrell@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Vivian,Kelley,48469952,,,v.kelley@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Sydney,Clark,37899986,,,s.clark@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
William,Alexander,31688468,,,w.alexander@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Julian,Thomas,42499090,,,j.thomas@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Vincent,Carter,30394395,,,v.carter@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Max,Cunningham,40600685,,,m.cunningham@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Charlie,Wright,29087988,,,c.wright@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
James,Alexander,14495060,,,j.alexander@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Aida,Fowler,49748095,,,a.fowler@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Miller,Watson,10726089,,,m.watson@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Jenna,Perkins,43594968,,,j.perkins@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Nicholas,Mason,30386350,,,n.mason@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Victor,Kelly,44201018,,,v.kelly@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Jacob,Robinson,28675877,,,j.robinson@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Melissa,Campbell,10312176,,,m.campbell@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Evelyn,Perkins,17551288,,,e.perkins@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Antony,Russell,37666864,,,a.russell@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Edward,Stewart,12385796,,,e.stewart@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Tess,Hunt,28973402,,,t.hunt@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Brooke,Montgomery,33977655,,,b.montgomery@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Aida,Hunt,15408462,,,a.hunt@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Mike,Nelson,45728083,,,m.nelson@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Elian,Farrell,25573812,,,e.farrell@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Kate,Clark,29101953,,,k.clark@randatmail.com,,,~Lab 01LZ NATSCI299 34413,,,,,,,,,,,,,,,,,,
Carina,Crawford,35126555,,,c.crawford@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Preston,Wells,18272987,,,p.wells@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Frederick,Douglas,47050546,,,f.douglas@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
Lana,Gibson,28682605,,,l.gibson@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Carlos,Hill,21829917,,,c.hill@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Olivia,Hill,36860956,,,o.hill@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Rafael,Farrell,48267598,,,r.farrell@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Amber,Gibson,14671594,,,a.gibson@randatmail.com,,,~Lab 01LS NATSCI299 34408,,,,,,,,,,,,,,,,,,
Emma,Stevens,25735328,,,e.stevens@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Chloe,Gray,45840226,,,c.gray@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Charlotte,Perry,45787210,,,c.perry@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Natalie,Thomas,37084706,,,n.thomas@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Valeria,Foster,27656626,,,v.foster@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Patrick,Ellis,40632009,,,p.ellis@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Vivian,Lopez Luna,47381765,,,v.douglas@randatmail.com,,,~Lab 01LX NATSCI299 34412,,,,,,,,,,,,,,,,,,
Alen,Lloyd,33731786,,,a.lloyd@randatmail.com,,,~Lab 01LV NATSCI299 34410,,,,,,,,,,,,,,,,,,
Emma,Owens,15667342,,,e.owens@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Derek,Johnson,22840311,,,d.johnson@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Vanessa,Cooper,29536622,,,v.cooper@randatmail.com,,,~Lab 01LR NATSCI299 34407,,,,,,,,,,,,,,,,,,
Chester,Moore,10075829,,,c.moore@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Julian,Gibson,33707303,,,j.gibson@randatmail.com,,,~Lab 01LL NATSCI299 34405,,,,,,,,,,,,,,,,,,
Eddy,Elliott,19075425,,,e.elliott@randatmail.com,,,~Lab 01LW NATSCI299 34411,,,,,,,,,,,,,,,,,,
Naomi,Brown,48119112,,,n.brown@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Camila,Howard,40186034,,,c.howard@randatmail.com,,,~Lab 01LM NATSCI299 34391,,,,,,,,,,,,,,,,,,
Sofia,Stewart,45030445,,,s.stewart@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Amelia,Edwards,16269836,,,a.edwards@randatmail.com,,,~Lab 01LU NATSCI299 34409,,,,,,,,,,,,,,,,,,
Florrie,Miller,35409604,,,f.miller@randatmail.com,,,~Lab 01LN NATSCI299 34392,,,,,,,,,,,,,,,,,,
Dainton,Johnson,30574337,,,d.johnson@randatmail.com,,,~Lab 01ML NATSCI299 34414,,,,,,,,,,,,,,,,,,
Lucy,Turner,10106930,,,l.turner@randatmail.com,,,~Lab 01LQ NATSCI299 34406,,,,,,,,,,,,,,,,,,
